les,el
miserables,miserables
victor,Victor
volume,volumen
fantine,Fantine
preface,Prefacio
long,largo
exist,Existen
virtue,virtud
law,Ley
custom,personalizado
decrees,decretos
damnation,Damnation
society,sociedad
artificially,artificialmente
creating,crear
hells,infiernos
civilization,civilización
earth,tierra
adding,Agregar
element,elemento
human,humano
fate,destino
divine,divina
destiny,destino
long,largo
great,gran
problems,problemas
centurythe,centurythe
degradation,degradación
man,uno
pauperism,pauperismo
corruption,corrupción
woman,mujer
hunger,hambre
crippling,lisiar
children,niños
lack,falta
lightare,lightare
so,por lo que
long,largo
social,social
asphyxia,asfixia
is,es
possible,posible
part,parte
worldin,Mundo
other,otros
words,palabras
still,todavía
wider,más amplia
significance,significado
so,por lo que
long,largo
ignorance,ignorancia
poverty,pobreza
exist,Existen
earth,tierra
books,libros
nature,naturaleza
les,el
miserables,miserables
not,no
fail,Fail
be,ser
use,uso
hauteville,Hauteville
house,Casa
fantine,Fantine
book,libro
firsta,firsta
just,sólo
man,uno
chapter,capítulo
im,En
myriel,Myriel
m,m
charlesfrancoisbienvenu,charlesfrancoisbienvenu
myriel,Myriel
was,fue
bishop,Obispo
d,d
was,fue
old,viejo
man,uno
about,Acerca de
seventyfive,seventyfive
years,años
age,edad
had,había
see,Ver
d,d
detail,detalle
has,ha
connection,conexión
whatever,cualquiera que sea
real,real
substance,sustancia
relate,se relacionan con
not,no
be,ser
superfluous,superfluo
merely,simplemente
sake,Sake
exactness,exactitud
points,puntos
mention,mención
here,aquí
various,varios
rumors,rumores
remarks,observaciones
had,había
circulation,tráfico
very,muy
moment,momento
arrived,llegó
diocese,Diócesis
true,true
false,falso
is,es
men,hombres
often,a menudo
occupies,ocupa
important,importante
place,lugar
lives,vive
destinies,destinos
m,m
myriel,Myriel
was,fue
son,sonido
councillor,Concejal
parliament,Parlamento
aix,AIX
hence,por lo tanto
belonged,perteneció
nobility,nobleza
bar,Bar
was,fue
father,padre
destining,destinar
be,ser
heir,heredero
own,propia
post,Exponer
had,había
very,muy
early,temprano
age,edad
eighteen,dieciocho
twenty,veinte
accordance,acuerdo
custom,personalizado
is,es
rather,más bien
widely,ampliamente
prevalent,frecuente
parliamentary,parlamentaria
families,familias
spite,rencor
marriage,matrimonio
however,sin embargo
was,fue
charles,Charles
great,gran
deal,Deal
talk,charla
was,fue
well,bien
rather,más bien
short,corto
stature,estatura
elegant,elegante
graceful,agraciado
intelligent,inteligente
whole,conjunto
first,primera
portion,porción
life,vida
had,había
world,mundo
gallantry,gallardía
revolution,Revolución
came,vino
events,eventos
other,otros
precipitation,precipitación
parliamentary,parlamentaria
families,familias
were,fueron
m,m
charles,Charles
italy,Italia
very,muy
beginning,principio
revolution,Revolución
wife,esposa
died,murió
malady,mal
chest,pecho
had,había
long,largo
had,había
children,niños
took,tomó
place,lugar
fate,destino
m,m
myriel,Myriel
ruin,ruina
french,Francés
society,sociedad
olden,antiguos
days,días
fall,caída
own,propia
family,familia
tragic,trágico
spectacles,muestra
were,fueron
perhaps,tal vez
even,incluso
more,más
alarming,alarmante
emigrants,emigrantes
distance,distancia
magnifying,lupa
powers,poderes
terrordid,terrordid
cause,causa
ideas,ideas
renunciation,renuncia
solitude,Soledad
germinate,germinar
was,fue
midst,medio
distractions,distracciones
affections,afecciones
life,vida
suddenly,de repente
mysterious,misterioso
terrible,terrible
blows,golpes
sometimes,a veces
striking,pulso
heart,corazón
man,uno
public,público
catastrophes,desastres
not,no
shake,Shake
striking,pulso
existence,existencia
fortune,fortuna
one,uno
have,han
was,fue
was,fue
returned,volvió
italy,Italia
was,fue
priest,sacerdote
m,m
myriel,Myriel
was,fue
cure,curación
b,b
